name,brand_category,product_category,created,last_active,last_onboarding_step,saw_discovery,address_country
TipsFromAFitCbick,,Apparel & Jewelry,2018-04-04,2018-04-04,2,false,
,,,2018-04-05,2018-04-05,2,false,
XFactor,,Technology Hardware & Equipment,2018-04-05,2018-04-05,1,false,United States
Under Armour,,Apparel & Jewelry,2018-04-05,2018-04-05,2,false,United States
,,,2018-04-05,2018-06-13,2,false,
,,,2018-04-05,2018-04-05,2,false,
,,,2018-04-05,2018-04-05,0,false,
BrandForward,,Marketing,2018-04-05,2018-04-09,1,false,
4 Seasons Agency,,Commercial  & Professional Services,2018-04-05,2018-04-07,1,false,
,,,2018-04-05,2018-04-05,2,false,
,,,2018-04-06,2018-05-02,2,false,
Bright Fire Energy,/science/weather,Utilities,2018-04-06,2018-04-20,3,false,
Planning Guru Eventz,,,2018-04-08,2018-05-04,3,false,
,,,2018-04-08,2018-04-08,2,false,
Let's B[oz.]®,,Food & Beverage,2018-04-08,2018-04-08,3,false,India
,,,2018-04-08,2018-04-08,2,false,
,,,2018-04-09,2018-04-09,1,false,
,,,2018-04-09,2018-04-09,2,false,
,,,2018-04-09,2019-02-12,2,false,
Eliya,,Food & Beverage,2018-04-09,2018-06-11,2,false,United States
,,,2018-04-09,2018-04-09,2,false,
Bullies & Co.,/pets/dogs,Pets,2018-04-09,2018-06-24,3,false,
,,,2018-04-09,2018-04-09,0,false,
SponsorGo,,Lifestyle Services,2018-04-09,2018-04-09,3,false,
,,,2018-04-09,2018-04-09,1,false,
,,,2018-04-09,2018-04-09,2,false,
,,,2018-04-10,2018-04-10,2,false,
Sarah Caroline & Co,/sports/gymnastics,Personal Care,2018-04-10,2018-04-12,3,false,United States
Block Party,/finance/investing,Marketing,2018-04-10,2018-04-10,3,false,Netherlands
,,,2018-04-10,2018-04-10,2,false,
,,,2018-04-11,2018-04-11,1,false,
,,,2018-04-11,2018-04-11,2,false,
,,,2018-04-11,2018-04-11,2,false,
,,,2018-04-11,2018-04-11,1,false,
,,,2018-04-11,2018-05-14,2,false,
,,,2018-04-11,2018-04-11,2,false,
,,,2018-04-11,2018-05-10,2,false,
,,,2018-04-11,2018-07-02,0,false,
,,,2018-04-11,2019-05-13,2,false,
Mission Lean,/food and drink/food,Lifestyle Services,2018-04-12,2018-06-12,3,false,United States
Wild and Free Coffee Co.,/food and drink,Food & Beverage,2018-04-12,2018-04-12,3,false,United States
MotoRadds,,,2018-04-12,2018-04-16,2,false,United States
,,,2018-04-13,2018-04-20,0,false,
,,,2018-04-13,2018-04-13,2,false,
SCORE SPORTS,,,2018-04-13,2018-04-13,1,false,United States
,,,2018-04-14,2018-04-14,2,false,
QuickHands Ball,,,2018-04-14,2018-04-16,3,false,
SPENT,,Marketing,2018-04-14,2018-04-15,3,false,United States
,,,2018-04-15,2018-04-16,1,false,
Brand1,,,2018-04-15,2018-04-23,2,false,United States
,,,2018-04-15,2018-04-16,2,false,
,,,2018-04-16,2018-04-16,0,false,
,,,2018-04-16,2018-04-16,1,false,
,,,2018-04-16,2018-08-22,2,false,
Hex,,,2018-04-17,2018-04-17,2,false,
Ash & Erie,/style and fashion/clothing/shirts,Apparel & Jewelry,2018-04-17,2018-08-17,3,false,
OneTwentySeven Motorsports,/technology and computing/consumer electronics/camera and photo equipment/cameras and camcorders/cameras,Automobiles,2018-04-17,2018-04-17,3,false,United States
Evolve Basketball App,/sports/basketball,,2018-04-18,2019-04-28,1,false,United States
,,,2018-04-18,2018-04-24,2,false,
,,,2018-04-18,2018-04-18,2,false,
,,,2018-04-18,2018-04-25,1,false,
,,,2018-04-18,2018-04-18,2,false,
,,,2018-04-19,2018-05-01,2,false,
,,,2018-04-19,,1,false,
,,,2018-04-19,,1,false,
,,,2018-04-19,2018-04-19,1,false,
,,,2018-04-20,2018-04-26,2,false,
,,,2018-04-20,2018-04-20,1,false,
,,,2018-04-21,2018-04-21,2,false,
SISU Mouthguards,,,2018-04-21,2018-05-02,2,false,
N1 Products,/art and entertainment/shows and events,,2018-04-21,2018-12-28,3,false,United States
,,,2018-04-23,2018-04-23,2,false,
,,,2018-04-23,2018-04-23,1,false,
,,,2018-04-23,2018-04-23,1,false,
Lionheart Adventures,/sports/boat racing,Outdoors,2018-04-23,2018-04-24,3,false,United States
UPMYLE,/art and entertainment/shows and events/sports event,,2018-04-23,2019-02-14,2,false,United States
,,,2018-04-24,2018-04-24,1,false,
,,,2018-04-24,2018-08-08,2,false,
GMDY,,Apparel & Jewelry,2018-04-24,2018-06-05,3,false,United States
,,,2018-04-25,2018-04-25,1,false,
Bridal Wars,,,2018-04-25,2018-06-11,3,false,United States
,,,2018-04-26,2018-04-26,1,false,
,,,2018-04-26,2018-04-26,0,false,
,,,2018-04-26,2018-04-26,2,false,
,,,2018-04-26,2018-05-14,2,false,
,,,2018-04-27,2018-04-27,2,false,
,,,2018-04-28,2018-04-29,2,false,
,,,2018-04-28,2018-04-28,1,false,
,,,2018-04-28,2018-04-28,2,false,
,,,2018-04-29,2019-06-18,2,false,
,,,2018-04-29,2019-04-10,2,false,
,,,2018-04-30,2018-04-30,2,false,
,,,2018-04-30,2018-04-30,1,false,
,,,2018-04-30,2018-05-02,2,false,
,,,2018-04-30,2018-05-01,2,false,
,,,2018-05-01,2018-05-07,1,false,
,,,2018-05-01,2018-05-01,2,false,
Ladies Luv Football,/sports/football,,2018-05-01,2018-05-01,3,false,
,,,2018-05-01,2018-05-30,2,false,
,,,2018-05-02,2018-05-22,2,false,
,,,2018-05-02,2018-05-02,2,false,
,,,2018-05-02,2018-05-15,2,false,
Sport IQ,,,2018-05-02,2019-03-20,2,false,Finland
,,,2018-05-03,2018-05-03,2,false,
Nuzest USA,/food and drink/food,Food & Beverage,2018-05-03,2018-11-08,3,false,United States
,,,2018-05-03,2018-05-21,3,false,
district,,,2018-05-03,2019-04-02,2,false,United States
TravisMathew Apparel,,Apparel & Jewelry,2018-05-03,2019-06-19,1,false,United States
,,,2018-05-03,2018-05-03,1,false,
,,,2018-05-03,2018-05-03,2,false,
,,,2018-05-04,2018-05-04,2,false,
,,,2018-05-04,2018-05-04,2,false,
TouchNote,/family and parenting,Retailing,2018-05-04,2018-12-19,3,false,
Reflexion,/education/homework and study tips,Health & Medical,2018-05-04,2019-05-29,3,false,United States
Slime Obsidian,/food and drink/desserts and baking,Art,2018-05-05,2018-05-05,3,false,United States
,,,2018-05-07,2018-05-07,0,false,
,,,2018-05-07,2018-05-07,0,false,
Full Force Studios,/law govt and politics/legal issues/civil rights,Marketing,2018-05-07,2018-06-03,3,false,United States
,,,2018-05-07,2018-05-07,0,false,
Pharmanecia 2018,,Health & Medical,2018-05-08,2018-07-01,3,false,India
,,,2018-05-08,2018-05-08,1,false,
,,,2018-05-08,2018-05-08,2,false,
NubAbility Athletics,,,2018-05-08,2018-05-08,3,false,United States
,,,2018-05-08,2018-05-10,2,false,
,,,2018-05-09,2018-05-12,2,false,
,,,2018-05-09,2018-08-22,1,false,
Menud,/food and drink/food,Food & Beverage,2018-05-09,2018-12-10,3,false,United States
stylestaze,,Apparel & Jewelry,2018-05-09,2018-05-17,3,false,
,,,2018-05-10,2018-05-10,1,false,
SISU Mouthguards,/sports/bobsled,Outdoors,2018-05-10,2018-09-28,1,false,
InStitchu,/style and fashion,Apparel & Jewelry,2018-05-10,2019-03-20,3,false,Australia
,,,2018-05-10,2018-05-10,2,false,
,,,2018-05-11,2018-05-11,2,false,
Mindful Market,,Apparel & Jewelry,2018-05-11,2018-05-14,3,false,United States
Technical Pihal,,,2018-05-11,2018-05-16,1,false,India
,,,2018-05-11,2018-05-16,2,false,
Native American Tea Company,,Food & Beverage,2018-05-12,2018-05-12,2,false,United States
Texpedia,,Apparel & Jewelry,2018-05-12,2018-05-12,3,false,Bangladesh
Paul Bisca,,Outdoors,2018-05-13,2018-05-13,3,false,Canada
Underdogs United,/sports/hockey,Marketing,2018-05-13,2019-05-08,3,false,United States
Mavro Productions,/art and entertainment/shows and events,,2018-05-14,2018-05-14,3,false,
,,,2018-05-14,2018-05-14,0,false,
Reer Endz Men’s Underwear,/style and fashion,Apparel & Jewelry,2018-05-14,2018-05-14,3,false,Australia
Pure Green,,Food & Beverage,2018-05-14,2018-05-19,3,false,United States
,,,2018-05-15,2018-06-13,1,false,
,,,2018-05-15,2018-05-15,2,false,
,,,2018-05-15,2018-05-15,1,false,
,,,2018-05-15,2018-05-23,1,false,
RUGGED & DAPPER,/travel/business travel,Personal Care,2018-05-15,2019-01-10,3,false,United States
Half White Half Black Looks Mexican!,,,2018-05-15,2018-07-18,2,false,United States
,,,2018-05-15,2018-12-07,2,false,
La Rocket,,Apparel & Jewelry,2018-05-15,2018-05-15,1,false,United States
Prestige Retreats,,Food & Beverage,2018-05-16,2018-05-16,3,false,Australia
,,,2018-05-16,2018-05-28,2,false,
